epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.968,4.21218,5.95465,2.05027,0.35742,0.12872,0.08568,0.04388,3.77074,3.72266,1.97855,0.000237265,0.000237265,0.000237265
2,311.032,3.9662,3.81166,1.99058,0.18639,0.17191,0.11548,0.06025,3.83107,3.43727,1.95213,0.00047056,0.00047056,0.00047056
3,459.517,3.91577,3.53435,1.97844,0.25208,0.19129,0.14094,0.07655,3.67171,3.15527,1.95683,0.000699143,0.000699143,0.000699143
4,608.314,3.84591,3.35249,1.96693,0.24285,0.20059,0.15141,0.08385,3.63753,3.1673,1.93428,0.000692794,0.000692794,0.000692794
5,756.15,3.83233,3.25182,1.96597,0.37187,0.21575,0.18408,0.102,3.56309,2.9587,1.91677,0.000685726,0.000685726,0.000685726
6,903.717,3.80321,3.16832,1.95169,0.29006,0.22948,0.19171,0.10699,3.55722,2.98071,1.91294,0.000678657,0.000678657,0.000678657
7,1052.84,3.78881,3.09408,1.94681,0.31983,0.21591,0.19198,0.1067,3.57685,2.99218,1.91705,0.000671588,0.000671588,0.000671588
8,1199.74,3.72334,3.03278,1.94247,0.31653,0.22743,0.20277,0.11395,3.50658,2.91078,1.89773,0.00066452,0.00066452,0.00066452
9,1348.93,3.72781,3.007,1.93862,0.31222,0.23622,0.20722,0.11905,3.48757,2.85039,1.90123,0.000657451,0.000657451,0.000657451
10,1498.46,3.69636,2.95104,1.93426,0.33437,0.25547,0.2291,0.13141,3.45399,2.72361,1.89794,0.000650383,0.000650383,0.000650383
11,1647.72,3.67007,2.89024,1.92598,0.31964,0.2557,0.22631,0.12588,3.49497,2.78147,1.90336,0.000643314,0.000643314,0.000643314
12,1797.03,3.68381,2.88259,1.92219,0.35704,0.24413,0.22689,0.12813,3.48437,2.78371,1.89171,0.000636245,0.000636245,0.000636245
13,1945.86,3.62866,2.82456,1.91586,0.35697,0.25922,0.23969,0.13621,3.42619,2.67251,1.88009,0.000629177,0.000629177,0.000629177
14,2094.37,3.6453,2.82173,1.91092,0.36256,0.27205,0.24898,0.14204,3.39068,2.62599,1.88125,0.000622108,0.000622108,0.000622108
15,2240.5,3.59927,2.79258,1.91049,0.3608,0.27268,0.24881,0.14087,3.40244,2.67107,1.88282,0.00061504,0.00061504,0.00061504
16,2387.81,3.5981,2.77555,1.90751,0.35895,0.26389,0.24654,0.13882,3.39376,2.62244,1.87251,0.000607971,0.000607971,0.000607971
17,2534.84,3.61316,2.77341,1.90803,0.3744,0.2714,0.25386,0.14596,3.40031,2.6455,1.88188,0.000600902,0.000600902,0.000600902
18,2687.55,3.58215,2.73298,1.8993,0.39886,0.27508,0.26144,0.14898,3.36104,2.58879,1.86836,0.000593834,0.000593834,0.000593834
19,2837.13,3.59019,2.74653,1.8992,0.36399,0.28518,0.25815,0.14761,3.35578,2.59489,1.8648,0.000586765,0.000586765,0.000586765
20,2985.39,3.55845,2.69521,1.89427,0.39836,0.28773,0.27049,0.155,3.34459,2.50666,1.86169,0.000579697,0.000579697,0.000579697
21,3134.9,3.54605,2.68627,1.89262,0.36043,0.29276,0.26408,0.14962,3.3308,2.59876,1.87007,0.000572628,0.000572628,0.000572628
22,3283,3.56405,2.68654,1.89757,0.37548,0.2876,0.27053,0.15592,3.30272,2.51328,1.859,0.000565559,0.000565559,0.000565559
23,3430.51,3.52309,2.64559,1.88788,0.38454,0.2877,0.27045,0.15468,3.31823,2.51295,1.86022,0.000558491,0.000558491,0.000558491
24,3578.49,3.5362,2.65873,1.89004,0.37825,0.29674,0.27122,0.15388,3.30671,2.5268,1.85656,0.000551422,0.000551422,0.000551422
25,3728.08,3.52615,2.64105,1.88765,0.39462,0.28837,0.27483,0.15923,3.3017,2.49518,1.85503,0.000544354,0.000544354,0.000544354
26,3875.85,3.51916,2.62895,1.88322,0.39219,0.28796,0.27726,0.16018,3.29872,2.48474,1.85325,0.000537285,0.000537285,0.000537285
27,4022.42,3.51055,2.61297,1.88435,0.40637,0.28575,0.27864,0.16084,3.29924,2.4725,1.84912,0.000530216,0.000530216,0.000530216
28,4170.26,3.50197,2.60994,1.87874,0.37692,0.30298,0.2788,0.15997,3.28018,2.47851,1.85118,0.000523148,0.000523148,0.000523148
29,4319.04,3.50994,2.59476,1.88213,0.40459,0.30033,0.28771,0.16689,3.26267,2.42734,1.84642,0.000516079,0.000516079,0.000516079
30,4464.5,3.48544,2.58719,1.87598,0.41501,0.29957,0.28788,0.16593,3.26734,2.43535,1.84659,0.000509011,0.000509011,0.000509011
31,4612.02,3.46588,2.57404,1.88085,0.38999,0.30633,0.28868,0.16768,3.23866,2.43523,1.84334,0.000501942,0.000501942,0.000501942
32,4759.23,3.46917,2.56828,1.87426,0.40189,0.3119,0.29474,0.16976,3.25347,2.4216,1.84334,0.000494873,0.000494873,0.000494873
33,4906.39,3.45482,2.54768,1.87434,0.40308,0.31089,0.29081,0.16846,3.23039,2.42409,1.84024,0.000487805,0.000487805,0.000487805
34,5054.33,3.45085,2.52755,1.87163,0.41475,0.30807,0.29548,0.17151,3.22278,2.39622,1.83776,0.000480736,0.000480736,0.000480736
35,5203.45,3.46284,2.53868,1.87076,0.40911,0.31332,0.30004,0.17424,3.22644,2.39136,1.83893,0.000473668,0.000473668,0.000473668
36,5350.61,3.45518,2.53467,1.86477,0.40522,0.31484,0.29962,0.17398,3.22337,2.38063,1.83753,0.000466599,0.000466599,0.000466599
37,5499.57,3.44357,2.52366,1.86362,0.42217,0.30578,0.29691,0.17244,3.22399,2.38356,1.83513,0.00045953,0.00045953,0.00045953
38,5647.86,3.43336,2.51825,1.87064,0.41613,0.31657,0.30256,0.17627,3.21145,2.3573,1.83663,0.000452462,0.000452462,0.000452462
39,5797.39,3.43929,2.51148,1.86838,0.40684,0.31699,0.30304,0.17616,3.21213,2.37033,1.83596,0.000445393,0.000445393,0.000445393
40,5945.09,3.40773,2.49393,1.86412,0.40872,0.31049,0.30048,0.17501,3.21942,2.36488,1.83606,0.000438325,0.000438325,0.000438325
41,6094.56,3.43588,2.50641,1.86154,0.41714,0.31781,0.30149,0.17374,3.21204,2.36506,1.83936,0.000431256,0.000431256,0.000431256
42,6242.06,3.4163,2.48543,1.86125,0.41282,0.31707,0.30651,0.17878,3.1939,2.34765,1.8344,0.000424187,0.000424187,0.000424187
43,6390.33,3.40206,2.45984,1.85707,0.42082,0.32438,0.30919,0.1788,3.20851,2.34233,1.83261,0.000417119,0.000417119,0.000417119
44,6537.33,3.4077,2.46762,1.86123,0.42128,0.32057,0.309,0.18181,3.19789,2.33412,1.82927,0.00041005,0.00041005,0.00041005
45,6684.93,3.38962,2.44033,1.85758,0.42546,0.31761,0.30916,0.17983,3.18878,2.33282,1.82997,0.000402982,0.000402982,0.000402982
46,6832.23,3.39903,2.46131,1.85927,0.41631,0.31837,0.31198,0.18233,3.19213,2.33086,1.82921,0.000395913,0.000395913,0.000395913
47,6978.76,3.39002,2.44841,1.85546,0.42741,0.32615,0.31477,0.18315,3.17696,2.30802,1.8276,0.000388844,0.000388844,0.000388844
48,7126.38,3.3981,2.428,1.85432,0.43616,0.31702,0.31184,0.18159,3.17702,2.31374,1.8269,0.000381776,0.000381776,0.000381776
49,7274.49,3.37542,2.4301,1.85327,0.42492,0.32415,0.31166,0.18229,3.16646,2.31626,1.82373,0.000374707,0.000374707,0.000374707
